TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20070205	2020	2.0	12	52.5720164609
20070207	2020	2.0	12	40.0548696845
20070419	2020	2.0	12	67.5925925926
20070804	2020	2.0	12	95.1303155007
20070822	2020	2.0	12	137.68861454
20070825	2020	2.0	12	112.654320988
20070908	2020	2.0	12	105.144032922
20071017	2020	2.0	12	75.1028806584
20071217	2020	2.0	12	70.0960219479
20071224	2020	2.0	12	77.6063100137
20080102	2020	2.0	12	50.0685871056
20080122	2020	2.0	12	77.6063100137
20080125	2020	2.0	12	10.0137174211
20080226	2020	2.0	12	80.109739369
20080305	2020	2.0	12	65.0891632373
20080328	2020	2.0	12	67.5925925926
20080612	2020	2.0	12	77.6063100137
20080620	2020	2.0	12	122.668038409
20080816	2020	2.0	12	90.1234567901
20081017	2020	2.0	12	82.6131687243
20081101	2020	2.0	12	77.6063100137
20081111	2020	2.0	12	60.0823045267
20081217	2020	2.0	12	62.585733882
20081223	2020	2.0	12	67.5925925926
25070205	2025	2.0	12	52.5720164609
25070207	2025	2.0	12	40.0548696845
25070419	2025	2.0	12	67.5925925926
25070804	2025	2.0	12	95.1303155007
25070822	2025	2.0	12	137.68861454
25070825	2025	2.0	12	112.654320988
25070908	2025	2.0	12	105.144032922
25071017	2025	2.0	12	75.1028806584
25071217	2025	2.0	12	70.0960219479
25071224	2025	2.0	12	77.6063100137
25080102	2025	2.0	12	50.0685871056
25080122	2025	2.0	12	77.6063100137
25080125	2025	2.0	12	10.0137174211
25080226	2025	2.0	12	80.109739369
25080305	2025	2.0	12	65.0891632373
25080328	2025	2.0	12	67.5925925926
25080612	2025	2.0	12	77.6063100137
25080620	2025	2.0	12	122.668038409
25080816	2025	2.0	12	90.1234567901
25081017	2025	2.0	12	82.6131687243
25081101	2025	2.0	12	77.6063100137
25081111	2025	2.0	12	60.0823045267
25081217	2025	2.0	12	62.585733882
25081223	2025	2.0	12	67.5925925926
30070205	2030	2.0	12	52.5720164609
30070207	2030	2.0	12	40.0548696845
30070419	2030	2.0	12	67.5925925926
30070804	2030	2.0	12	95.1303155007
30070822	2030	2.0	12	137.68861454
30070825	2030	2.0	12	112.654320988
30070908	2030	2.0	12	105.144032922
30071017	2030	2.0	12	75.1028806584
30071217	2030	2.0	12	70.0960219479
30071224	2030	2.0	12	77.6063100137
30080102	2030	2.0	12	50.0685871056
30080122	2030	2.0	12	77.6063100137
30080125	2030	2.0	12	10.0137174211
30080226	2030	2.0	12	80.109739369
30080305	2030	2.0	12	65.0891632373
30080328	2030	2.0	12	67.5925925926
30080612	2030	2.0	12	77.6063100137
30080620	2030	2.0	12	122.668038409
30080816	2030	2.0	12	90.1234567901
30081017	2030	2.0	12	82.6131687243
30081101	2030	2.0	12	77.6063100137
30081111	2030	2.0	12	60.0823045267
30081217	2030	2.0	12	62.585733882
30081223	2030	2.0	12	67.5925925926
35070205	2035	2.0	12	52.5720164609
35070207	2035	2.0	12	40.0548696845
35070419	2035	2.0	12	67.5925925926
35070804	2035	2.0	12	95.1303155007
