GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_variable_om	gen_energy_source	gen_full_load_heat_rate	gen_min_uptime	gen_min_downtime	gen_startup_fuel	gen_storage_efficiency	gen_storage_energy_to_power_ratio	gen_storage_max_cycles_per_year
Oahu_AES	Oahu	AES	0.0	180.0	180.0	61	0.0	0	0	0	0	2.0	multiple	.	24.0	24.0	0.0	.	.	.
Oahu_Airport_DSG	Oahu	Airport_DSG	0.0	8.0	8.0	61	0.0	0	0	0	0	37.46	multiple	.	1.0	1.0	15.75	.	.	.
Oahu_Battery_Bulk	Oahu	Battery_Bulk	0.0	3000.0	.	15	0.0	0	0	0	0	1.71672967742	Battery	.	.	.	.	0.9	.	365.0
Oahu_Battery_Conting	Oahu	Battery_Conting	0.0	3000.0	.	15	0.0	0	0	0	0	1.71672967742	Battery	.	.	.	.	0.9	0.0	.
Oahu_Battery_Reg	Oahu	Battery_Reg	0.0	3000.0	.	15	0.0	0	0	0	0	1.71672967742	Battery	.	.	.	.	0.9	0.0	.
Oahu_CC_152	Oahu	CC_152	154728.859257	1505.86	150.586	30	0.05	0	0	0	0	4.49	multiple	.	.	.	.	.	.	.
Oahu_CIP_CT	Oahu	CIP_CT	0.0	113.0	113.0	61	0.0	0	0	0	0	40.76	multiple	.	1.0	1.0	1.11504424779	.	.	.
Oahu_CentralTrackingPV_PV_01	Oahu	CentralTrackingPV	30104.888173	272.066085442	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_02	Oahu	CentralTrackingPV	25662.0050137	235.386587132	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_03	Oahu	CentralTrackingPV	21438.9344521	74.0786511353	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_04	Oahu	CentralTrackingPV	14074.5145857	246.034665955	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_05	Oahu	CentralTrackingPV	9814.33813149	34.1890525823	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_06	Oahu	CentralTrackingPV	1193.33783847	5.40065683847	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_07	Oahu	CentralTrackingPV	10997.3785512	382.345403729	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_08	Oahu	CentralTrackingPV	17118.7838083	728.008319372	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_09	Oahu	CentralTrackingPV	33640.9579014	338.270244585	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_10	Oahu	CentralTrackingPV	23034.9997049	1248.96028196	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_11	Oahu	CentralTrackingPV	30272.5389626	346.391874227	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_12	Oahu	CentralTrackingPV	34881.9144654	246.924233801	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_13	Oahu	CentralTrackingPV	33572.7981478	489.409195047	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_14	Oahu	CentralTrackingPV	23991.0769712	103.340691038	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_15	Oahu	CentralTrackingPV	13848.107774	252.478623361	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_16	Oahu	CentralTrackingPV	19037.9843978	254.376785129	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_17	Oahu	CentralTrackingPV	23923.026354	8.01186714309	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_CentralTrackingPV_PV_18	Oahu	CentralTrackingPV	14887.1512137	0.493028702088	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
