GENERATION_PROJECT	build_year	gen_overnight_cost	gen_storage_energy_overnight_cost	gen_fixed_om
Oahu_AES	1992	1943656.25	.	0.0
Oahu_Airport_DSG	2013	557448.223719	.	0.0
Oahu_Battery_Bulk	2020	901016.0	507.215788165	9641.585625
Oahu_Battery_Bulk	2025	901016.0	432.940774561	9641.585625
Oahu_Battery_Bulk	2030	901016.0	371.591198527	9641.585625
Oahu_Battery_Bulk	2035	901016.0	356.291633483	9641.585625
Oahu_Battery_Bulk	2040	901016.0	353.783955978	9641.585625
Oahu_Battery_Bulk	2045	901016.0	338.711667058	9641.585625
Oahu_Battery_Conting	2020	1167462.79372	0.0	9641.585625
Oahu_Battery_Conting	2025	1128445.20064	0.0	9641.585625
Oahu_Battery_Conting	2030	1096217.50148	0.0	9641.585625
Oahu_Battery_Conting	2035	1088180.44871	0.0	9641.585625
Oahu_Battery_Conting	2040	1086863.13437	0.0	9641.585625
Oahu_Battery_Conting	2045	1078945.4726	0.0	9641.585625
Oahu_Battery_Reg	2020	1433909.58744	0.0	9641.585625
Oahu_Battery_Reg	2025	1355874.40127	0.0	9641.585625
Oahu_Battery_Reg	2030	1291419.00295	0.0	9641.585625
Oahu_Battery_Reg	2035	1275344.89743	0.0	9641.585625
Oahu_Battery_Reg	2040	1272710.26875	0.0	9641.585625
Oahu_Battery_Reg	2045	1256874.9452	0.0	9641.585625
Oahu_CC_152	2020	1704138.03418	.	18165.30625
Oahu_CC_152	2025	1663401.61402	.	18165.30625
Oahu_CC_152	2030	1629483.99378	.	18165.30625
Oahu_CC_152	2035	1604213.3266	.	18165.30625
Oahu_CC_152	2040	1587137.27108	.	18165.30625
Oahu_CC_152	2045	1587596.49867	.	18165.30625
Oahu_CIP_CT	2009	557448.223719	.	0.0
Oahu_CentralTrackingPV_PV_01	2016	3063522.89497	.	14741.7179872
Oahu_CentralTrackingPV_PV_01	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_01	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_01	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_01	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_01	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_01	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_02	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_02	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_02	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_02	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_02	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_02	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_03	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_03	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_03	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_03	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_03	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_03	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_04	2012	3063522.89497	.	0.0
Oahu_CentralTrackingPV_PV_04	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_04	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_04	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_04	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_04	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_04	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_05	2018	1913497.99691	.	10048.2809785
Oahu_CentralTrackingPV_PV_05	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_05	2025	2018298.16995	.	10048.2809785
